playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
alcanra01,1992.0,D.R.,,Raul,Alcantara,220.0,76.0,R,R
alcansa01,1995.0,D.R.,,Sandy,Alcantara,170.0,76.0,R,R
alcanvi01,1993.0,D.R.,,Victor,Alcantara,190.0,74.0,R,R
alcarlu01,1941.0,P.R.,,Luis,Alcaraz,165.0,69.0,R,R
alcocsc01,1885.0,USA,1973.0,Scotty,Alcock,160.0,69.0,R,R
alderda01,1918.0,USA,1982.0,Dale,Alderson,190.0,70.0,R,R
aldremi01,1961.0,USA,,Mike,Aldrete,180.0,71.0,L,L
aldresc01,1968.0,USA,,Scott,Aldred,195.0,76.0,L,L
aldrico01,1979.0,USA,,Cory,Aldridge,210.0,72.0,L,R
aldrija01,1961.0,USA,,Jay,Aldrich,210.0,75.0,R,R
aldrivi01,1893.0,USA,1973.0,Vic,Aldridge,175.0,69.0,R,R
alenoch01,1917.0,USA,2003.0,Chuck,Aleno,215.0,73.0,R,R
alexabo01,1922.0,CAN,1993.0,Bob,Alexander,205.0,74.0,R,R
alexada01,1903.0,USA,1979.0,Dale,Alexander,210.0,75.0,R,R
alexado01,1950.0,USA,,Doyle,Alexander,190.0,75.0,R,R
alexaga01,1953.0,USA,,Gary,Alexander,195.0,74.0,R,R
alexage01,1968.0,USA,,Gerald,Alexander,190.0,71.0,R,R
alexahu01,1917.0,USA,2000.0,Hugh,Alexander,190.0,72.0,R,R
alexama01,1947.0,USA,,Matt,Alexander,168.0,71.0,B,R
alexama02,1971.0,D.R.,,Manny,Alexander,150.0,70.0,R,R
alexani01,1858.0,USA,1933.0,Nin,Alexander,163.0,64.0,R,R
alexape01,1887.0,USA,1950.0,Pete,Alexander,185.0,73.0,R,R
alexasc01,1989.0,USA,,Scott,Alexander,190.0,74.0,L,L
alexawa01,1891.0,USA,1978.0,Walt,Alexander,165.0,70.0,R,R
alfarja01,1977.0,USA,,Jason,Alfaro,185.0,70.0,R,R
alfarjo01,1993.0,Colombia,,Jorge,Alfaro,225.0,74.0,R,R
alfonan01,1972.0,D.R.,,Antonio,Alfonseca,250.0,77.0,R,R
alfoned01,1973.0,Venezuela,,Edgardo,Alfonzo,210.0,71.0,R,R
alfonel01,1979.0,Venezuela,,Eliezer,Alfonzo,220.0,71.0,R,R
alforan01,1994.0,USA,,Anthony,Alford,215.0,73.0,R,R
alicelu01,1965.0,P.R.,,Luis,Alicea,165.0,69.0,B,R
allanan01,1961.0,USA,,Andy,Allanson,220.0,77.0,R,R
allarbr01,1958.0,USA,,Brian,Allard,175.0,73.0,R,R
allenbe01,1939.0,USA,,Bernie,Allen,175.0,72.0,L,R
allenbo01,1867.0,USA,1943.0,Bob,Allen,175.0,71.0,R,R
allenbo02,1894.0,USA,1975.0,Bob,Allen,180.0,70.0,R,R
allenbo03,1914.0,USA,2005.0,Bob,Allen,165.0,73.0,R,R
allenbo04,1937.0,USA,,Bob,Allen,175.0,74.0,L,L
allenbr01,1986.0,USA,,Brandon,Allen,230.0,74.0,L,R
allench01,1975.0,USA,,Chad,Allen,195.0,73.0,R,R
allenco01,1988.0,USA,,Cody,Allen,210.0,73.0,R,R
allendi01,1942.0,USA,,Dick,Allen,187.0,71.0,R,R
allendu01,1972.0,USA,,Dusty,Allen,215.0,76.0,R,R
allenet01,1904.0,USA,1993.0,Ethan,Allen,180.0,73.0,R,R
allenfr01,1888.0,USA,1933.0,Frank,Allen,175.0,69.0,R,L
allenga01,1955.0,USA,,Gary,Allenson,185.0,71.0,R,R
allengr01,1993.0,USA,,Greg,Allen,175.0,72.0,B,R
allenha01,1846.0,USA,1881.0,Ham,Allen,,64.0,,
allenha02,1940.0,USA,,Hank,Allen,190.0,72.0,R,R
allenhe01,1863.0,USA,1916.0,Hezekiah,Allen,160.0,71.0,,
allenho01,1899.0,USA,1981.0,Horace,Allen,187.0,72.0,L,R
allenja01,1855.0,USA,1915.0,Jack,Allen,160.0,,R,R
allenja02,1958.0,USA,,Jamie,Allen,205.0,72.0,R,R
allenje01,1972.0,USA,,Jermaine,Allensworth,178.0,72.0,R,R
allenjo01,1890.0,USA,1967.0,John,Allen,170.0,73.0,R,R
allenjo02,1904.0,USA,1959.0,Johnny,Allen,180.0,72.0,R,R
allenki01,1953.0,USA,,Kim,Allen,175.0,71.0,R,R
allenll01,1950.0,USA,,Lloyd,Allen,185.0,73.0,R,R
allenlu01,1978.0,USA,,Luke,Allen,208.0,74.0,L,R
allenmy01,1854.0,USA,1924.0,Myron,Allen,150.0,68.0,R,R
