fg,3p,ft,reb,ast,stl,blk,tov,total_points,efficiency
40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,236.8,24.926315789473687
36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,98.6,9.129629629629628
43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,159.6,16.8
45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,225.0,24.193548387096772
45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,145.6,19.945205479452053
52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,217.5,31.071428571428573
42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,85.80000000000001,12.61764705882353
51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,127.5,19.31818181818182
37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,67.60000000000001,10.903225806451614
51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,58.5,10.086206896551724
53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1992.6000000000001,54.442622950819676
35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,105.39999999999999,9.850467289719626
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1161.3,34.459940652818986
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1161.3,34.459940652818986
44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,910.1999999999999,27.08928571428571
46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,934.8000000000001,29.676190476190477
49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1158.3,37.97704918032787
44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1016.0,33.64238410596027
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1047.2,34.906666666666666
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1047.2,34.906666666666666
37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,505.0,19.960474308300395
48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,810.0,32.27091633466135
50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,729.8000000000001,31.7304347826087
44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,185.0,17.452830188679247
49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,931.5,42.34090909090909
50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,729.8000000000001,33.63133640552996
40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,785.6999999999999,39.089552238805965
41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,434.7,22.178571428571427
39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,746.1999999999999,39.06806282722513
47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,335.5,18.63888888888889
47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,547.5,30.586592178770953
49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,626.4,36.84705882352941
48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,632.0,37.61904761904762
39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,82.5,7.9326923076923075
48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,453.59999999999997,28.52830188679245
46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,296.1,21.150000000000002
47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,526.5,38.15217391304348
43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,323.3,24.492424242424246
40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,197.79999999999998,15.215384615384615
36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,236.5,18.333333333333332
54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,241.89999999999998,19.50806451612903
45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,389.40000000000003,34.46017699115044
40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,1169.0,33.88405797101449
42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,269.5,24.5
29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,144.29999999999998,13.238532110091741
38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,207.70000000000002,20.564356435643568
43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,79.8,8.142857142857142
47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,260.0,26.530612244897956
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,325.0,34.21052631578947
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,325.0,34.21052631578947
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,565.8000000000001,26.688679245283023
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,565.8000000000001,26.688679245283023
31.3,32.5,78.9,1.0,1.0,0.4,0.1,0.8,118.80000000000001,12.638297872340427
47.5,0.0,61.5,1.4,0.6,0.5,0.2,0.7,154.79999999999998,17.590909090909086
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,174.0,20.0
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,174.0,20.0
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1157.3,38.069078947368425
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1157.3,38.069078947368425
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,119.0,13.837209302325581
